dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour,wind_gust,rain
2022-03-06 15:00:00,16.22,14.81,1009,35,0.75,2.75,0,10000,8.75,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-06,15,,
2022-03-06 16:00:00,15.36,13.94,1009,38,1.13,1.45,0,10000,9.77,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-06,16,,
2022-03-06 17:00:00,14.55,13.18,1009,43,2.13,0.5,0,10000,8.75,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-06,17,,
2022-03-06 18:00:00,13.31,11.95,1010,48,2.54,0.0,0,10000,9.26,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-06,18,,
2022-03-06 19:00:00,11.8,10.45,1010,54,2.8,0.0,0,10000,9.26,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,19,,
2022-03-06 20:00:00,11.34,10.07,1011,59,3.62,0.0,0,10000,9.26,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,20,,
2022-03-06 21:00:00,10.82,9.52,1011,60,3.37,0.0,0,10000,6.69,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,21,,
2022-03-06 22:00:00,10.74,9.49,1011,62,3.76,0.0,0,10000,6.17,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,22,,
2022-03-06 23:00:00,10.41,9.18,1010,64,3.9,0.0,0,10000,6.17,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,23,,
2022-03-07 00:00:00,10.23,8.93,1011,62,3.28,0.0,0,10000,6.17,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-07,0,,
2022-03-07 01:00:00,9.85,7.55,1011,61,2.69,0.0,0,10000,4.63,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-07,1,,
2022-03-07 02:00:00,9.69,7.57,1010,60,2.31,0.0,0,10000,4.12,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-07,2,,
2022-03-07 03:00:00,9.19,7.2,1010,62,2.3,0.0,0,10000,3.6,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-07,3,,
2022-03-07 04:00:00,8.52,6.68,1009,65,2.32,0.0,0,10000,3.09,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-07,4,,
2022-03-07 05:00:00,8.14,6.57,1009,65,1.96,0.0,0,10000,2.57,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-07,5,,
2022-03-07 06:00:00,8.25,6.07,1009,68,2.7,0.0,0,10000,3.58,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-07,6,4.92,
2022-03-07 07:00:00,7.3,5.57,1009,76,3.36,0.0,0,10000,2.57,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-07,7,,
2022-03-07 08:00:00,8.74,7.67,1010,78,5.12,0.34,0,10000,2.06,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-07,8,,
2022-03-07 09:00:00,11.59,10.61,1014,69,6.1,1.12,20,10000,4.63,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-07,9,,
2022-03-07 10:00:00,13.33,12.15,1011,55,4.49,2.1,20,10000,4.63,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-07,10,,
2022-03-07 11:00:00,13.76,12.5,1010,50,3.53,3.25,20,10000,3.6,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-07,11,,
2022-03-07 12:00:00,14.07,12.73,1010,46,2.64,4.04,20,10000,3.6,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-07,12,,
2022-03-07 13:00:00,14.26,12.99,1010,48,3.41,4.8,40,10000,5.14,260,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-03-07,13,,
2022-03-07 14:00:00,14.32,13.14,1009,51,4.33,4.08,40,10000,4.12,270,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-03-07,14,,
2022-03-07 15:00:00,13.9,12.76,1009,54,4.76,2.79,75,10000,6.69,270,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-03-07,15,,
2022-03-07 16:00:00,13.97,12.78,1009,52,4.28,1.39,75,10000,5.66,260,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-03-07,16,,
2022-03-07 17:00:00,13.48,12.27,1009,53,4.1,0.48,75,10000,5.66,240,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-03-07,17,,
2022-03-07 18:00:00,12.88,11.74,1009,58,4.83,0.0,75,10000,4.63,240,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-03-07,18,,
2022-03-07 19:00:00,12.76,11.63,1009,59,4.96,0.0,75,10000,3.6,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-03-07,19,,
2022-03-07 20:00:00,12.87,11.75,1010,59,5.06,0.0,75,10000,4.12,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-03-07,20,,
2022-03-07 21:00:00,12.89,11.85,1010,62,5.79,0.0,20,10000,4.12,220,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-03-07,21,,
2022-03-07 22:00:00,12.53,11.74,1009,73,7.83,0.0,20,10000,6.17,210,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",2022-03-07,22,,{'1h': 0.75}
2022-03-07 23:00:00,11.9,11.26,1009,81,8.75,0.0,75,8000,6.17,210,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-03-07,23,,
